PRODUCT_CLEAN,Total_Risk_Score,Nb_Vulnerabilities,Avg_Risk_Per_Vuln
AWS,1233,466,2.6459227467811157
Apache,9268,3422,2.7083576855639975
Azure,840,318,2.641509433962264
BIND,3374,1254,2.6905901116427433
CDE,417,159,2.6226415094339623
Docker,855,306,2.7941176470588234
Dovecot,113,50,2.26
Drupal,2405,1234,1.9489465153970826
FTP,5040,1951,2.583290620194772
Go,27675,10091,2.7425428599742343
IMAP,679,266,2.5526315789473686
Java,17281,7283,2.372785939859948
Jenkins,3769,1614,2.335192069392813
Joomla,3258,1196,2.7240802675585285
Kubernetes,786,304,2.585526315789474
Linux,42801,19386,2.207830393067162
Magento,703,271,2.5940959409594098
MongoDB,493,178,2.769662921348315
MySQL,1861,714,2.6064425770308124
NGINX,597,214,2.789719626168224
Node.js,1124,398,2.8241206030150754
Oracle,19180,8579,2.235691805571745
PHP,71208,27281,2.610168248964481
POP,2807,1140,2.462280701754386
Perl,19721,8076,2.441926696384349
Postfix,69,30,2.3
PostgreSQL,737,279,2.6415770609319
Python,2458,873,2.8155784650630014
Redis,385,146,2.636986301369863
Ruby,1312,488,2.6885245901639343
Rust,9342,3407,2.7420017610801293
SSH,3147,1144,2.750874125874126
Windows,41493,15374,2.69890724599974
WordPress,32838,14070,2.333901918976546
